practice_table6,outcome,evidence_rows,sources,status,priority,scale/units,center_type,center,spread_type,spread,source_id,what does spread apply to?,use,note
+Cover Crops,Soil C,4,Poeplau & Don; Vicente-Vicente et al.,COVERED,1,Mg C ha-1 yr-1,mean rate,0.32,sd,0.74,Poeplau_Don_2015_rate,"population, among plots",likelihood,"spread is the SD of the 139 plot level rates in the supplement, so population not precision. The paper's reported +/- 0.08 is a 95% CI half width on the mean, not an SD."
+Cover Crops,N2O,3,Basche et al.; Li et al.,COVERED,2,,,,,,,,none,"no usable contrast. Basche reports the share of observations positive, a vote count, and Li 2023 reports the effect as variable."
+Cover Crops,CH4,0,,STILL EMPTY,99,,,,,,,,none,"no evidence in the library at all, the one still empty cell."
+Non-crop C,Soil C,2,Bai et al.; Vicente-Vicente et al.,COVERED,1,LRR (dimensionless),mean LRR,0.23823,se,0.002814,Bai_2023_OA_SOC,the mean effect,likelihood,"Replaced Vicente-Vicente 2016 with Bai et al. 2023, a global synthesis of 1972 comparisons from 424 papers that reports a confidence interval, so this cell is fittable rather than a sign check. Organic amendment raised SOC by 26.9 percent, 95% CI 26.2 to 27.6, which is LRR 0.2382 with SE 0.0028. CAUTION the SE is precision on the mean across 1972 comparisons and says nothing about among site variability, so it should not be read as the spread a single field would show. Bai also gives the effect as a stock change of 5.1 +/- 0.4 Mg C ha-1; the superseded Vicente-Vicente value of 5.3 was a RATE in Mg C ha-1 yr-1, a different quantity that happens to be a near identical number. California relevant subgroups from Bai: arid 32.4 percent, warm MAAT 10-20 C 40.2 percent, compost 28.7 percent; Bai reports no combined arid and warm subgroup, so the global mean is used here."
+Non-crop C,N2O,1,Ma et al.,COVERED,2,,,,,,,,none,"only Ma 2021, a single two season cotton experiment reported as a ranking."
+Non-crop C,CH4,1,Ma et al.,COVERED,99,,,,,,,,none,"only Ma 2021, reported qualitatively."
Reduced tillage,Soil C,2,"Sun et al.; Robertson, Paul & Harwood",COVERED,1,Mg C ha-1 yr-1,mean rate,0.2162,sd,0.4478,Sun_2020_notill_SOC_CAanalog,"population, among sites",likelihood,"Replaced Robertson 2000 per issue #11. Derived from Sun et al. 2020 Table S1 by the script given in issue #11, run unmodified. Filter: MAT 10-20 C and MAP/MAT < 40, giving a Mediterranean to semi-arid envelope of MAT 12.5-20 C and MAP 355-690 mm, which brackets Central Valley conditions. 62 no-till versus conventional-till comparisons at 23 named sites, each site weighted equally after averaging its own comparisons. Mean 0.2162 Mg C ha-1 yr-1, SD 0.4478 among sites, SE on the mean 0.0934, mean LRR 0.0555 which is +5.7 percent. Robertson 2000 (0.3, single KBS Michigan experiment, no dispersion) is retained as contributing evidence but is no longer the selected value. CAVEAT: the subset contains no California site and is dominated by Spain, 35 of 62 comparisons. Two of the 23 sites are the same Urbana Illinois experiment under different labels; merging them moves the mean to 0.2175, and dropping Urbana moves it to 0.2521, so the estimate is not sensitive to this."
Reduced tillage,N2O,5,Li et al.; Snyder et al.; van Kessel et al.,COVERED,2,LRR (dimensionless),mean LRR,0.322,se,0.124,VanKessel_2013_dry_short,the mean effect,likelihood,"dry climate, under 10 years since conversion, per David 2026-09-15. Digitised from Fig 2a, which is area scaled N2O. Only cell with a real SE on the contrast. Match model runs to roughly 5 years after conversion."
Reduced tillage,CH4,1,Six et al.,COVERED,99,kg CH4 ha-1 yr-1,mean,-0.6,"se, reported",0.1,Six_2004_CH4,the mean effect,none,"CH4 uptake enhancement under no till, negative means uptake. VERIFIED against Six 2004 Table 1: estimate 0.6, SE 0.1, identical in humid and dry and constant at years 5, 10 and 20 since it is modelled as a constant annual rate. Caption states SE = standard error. Corresponding GWP is 13 kg CO2-eq ha-1 yr-1 with SE 3.1. Based on only five CH4 data points across the meta-analysis. SCOPED OUT 2026-09-16 per David: CH4 is only in scope for rice systems. Tillage does not enter the SIPNET CH4 formulation, so the model returns no difference for this cell and it cannot be fitted or sign checked. The Six 2004 estimate is retained because it is verified, but it is not a target."
+/- N Fertilization,Soil C,1,Snyder et al.,COVERED,2,,,,,,,,none,"Snyder was the only candidate and it reports SOC derived from corn, not total SOC, with total SOC declining. Marked not viable."
